sentence_id	n	v	w	n_first_index	n_last_index	v_first_index	v_last_index	w_first_index	w_last_index	sentence_text
1269	comment	like	would	20	20	16	16	14	14	I ' m going to have a look at it myself , but I would also like some others ' comment .
2156	help	like	would	20	20	19	19	18	18	I ' m going to start small with this article and do little by little , so I would like help with these to things .
4503	advice	like	would	17	17	15	15	14	14	I ' m having a bit of a dispute with an editor , and would like some advice about a source , as I ' d really like to keep things civil .
7738	feedback	like	would	32	32	30	30	28	28	I ' m hoping to improve this Good Article so that I can put it forward as a Featured Article Candidate , but before I do that I would really like some feedback about the shape and content of the article .
8634	opinon	like	would	15	15	13	13	12	12	IMHO , this aritcle meets the criteria for an FA and I would like the opinon of you all -LRB- the reviewers -RRB- before we nominte it .
9070	ISO-style	like	would	5	5	3	3	2	2	IMHO - would like the ISO-style more .
14113	feedback	like	would	16	16	14	14	13	13	I might -LRB- try -RRB- making something like this myself , but I would like some feedback on wether it is a good idea first .
14798	input	like	would	16	16	13	13	12	12	I ' m inclined to add it to the relevant articles but would like some other input on this .
116420	feedback	like	would	14	14	12	12	11	11	I ' m not quite sure what the error is and would like some feedback and help with getting this page published .
116936	kind	like	would	21	21	19	19	18	18	I ' m not really sure what exactly is the worst kind of XP error , but I would like some kind of SOD that has something to do with a chipset , memory , or hard disk error .
117216	someone	like	would	12	12	11	11	10	10	I ' m not revealing my specific numbers here but would like someone to try to do the same thing , and see if you get this same result !
117832	debate	like	would	17	17	15	15	14	14	I ' m not saying this article should necessarily be deleted , but I would like a debate on the issue .
118273	admin	like	would	19	19	16	16	15	15	I ' m not seeking a block for Farsight001 at this time , but I would like an uninvolved admin to review the situation here and issue an appropriate warning .
119069	advice	like	would	30	30	28	28	27	27	I ' m not sure about where this further discussion should take place , as the bot approval pages seem to have very low traffic , so would like some advice from readers of this page as to where this should happen .
119372	proof	like	would	5	5	8	8	7	7	Im not sure exactly what proof you would like me to provide but the mere fact that we were both interested in adding the same type of content to the same page does not seem like reasonable evidence .
120242	feedback	like	would	15	15	13	13	12	12	I ' m not sure how to proceed on this , and would like some feedback .
121962	feedback	like	would	17	17	15	15	14	14	I ' m not sure if this is the right place , but I would like admin feedback on a subpage I created , in the wake of the CINEGroup kafuffle , especially if the admin has prior knowledge of the issue .
121963	help	like	would	17	17	15	15	14	14	I ' m not sure if this is the right place , but I would like some help here , from someone who knows how to use the Phonetic Alphabet .
122745	vandal	like	would	11	11	8	8	7	7	I ' m not sure legitimate users would like the term vandal alongside their name .
124034	discussion	like	would	25	25	23	23	22	22	I ' m not sure what action is appropriate here - I am not seeking anyone to be blocked , I simply would like the discussion to be able to continue .
124432	help	like	would	17	17	15	15	14	14	I ' m not sure what measures or intervention is needed , but I would like some help with this matter .
126775	idea	like	would	18	18	16	16	15	15	I ' m not terribly concerned about precise historical accuracy or anything , but I would like some idea of what such a person would wear .
128067	feedback	like	would	14	14	12	12	11	11	I ' m not very sure this is within consensus but would like some feedback before deciding whether to reblock .
216145	man	like	would	40	40	37	37	36	36	In 1929 , Henry Standing Bear , a Lakota elder , initiated the project to honor Crazy Horse by writing to the sculptor Korczak Ziolkowski , saying in part , `` My fellow chiefs and I would like the white man to know that the red man has great heroes , too .
555091	son	like	would	21	21	18	18	17	17	In 1954 he moved to teach at Blaenau Ffestiniog , as he and Elin decided that they would like their adopted son to be brought up bilingual in English and Welsh .
1091161	someone	like	would	24	24	23	23	22	22	IN CONCLUSION , ABOUT THE CASE ISSUE OF THE SKULL AND BONES ARTICLE , and the request about Will BeBack , I would like someone to suspend Will BeBack ' s admin powers because of subjective abuse of position .
1105267	start	like	would	35	35	6	6	5	5	In connection to that I would like to know if all these criteria have been met here , and , in particular , if this request is in accordance with Hodja Nasreddin ' s clean start .
1114354	source	like	would	23	23	20	20	19	19	Incidentally , the Peleus trial is reported as Case 1 in Volume 1 of the UN reports if you would like a better source for the trial itself .
1168950	person	like	would	13	13	11	11	10	10	Include the terms of the free license under which you would like the person to release the image , such as GFDL , Creative Commons , BSD , MPL , FAL , or Attribution , below your signature so they can research that if they want .
1206253	information	like	would	6	6	4	4	3	3	In case you would like more information on how really , really badly this identification matter can go wrong , email me , and I will put you in touch with someone who knows , both for themselves and for many , many others on wp .
1273508	explanation	like	would	8	8	6	6	5	5	In a nutshell , I would like an explanation as to why this article was removed , when other similar articles -LRB- one of which i used as a base for the design -RRB- still exist .
1278618	Canoe1967	like	would	7	7	6	6	5	5	In any case , I would like Canoe1967 to ask users in the future for permission to move their comments to other article talk pages and to stop moving my comments at this time .
1285757	article	like	would	8	8	6	6	5	5	In any event , I would like the article deleted , mostly out of personal embarrassment - - not at the content , which is factual - - but just because it looks like I ' m self-promoting .
1332350	relationship	like	would	29	29	27	27	26	26	In an essay on realism in children ' s literature , Walsh stated that realism -LRB- like fantasy -RRB- is also metaphorical , and that she would like the relationship between the reader and her characters Bill and Judie to be as metaphorical as that between `` dragons and the reader ' s greed or courage '' .
1336677	vote	like	would	9	9	8	8	7	7	In an instance like that , I would like vote to redirect rather than delete .
1364708	party	like	would	9	9	6	6	5	5	In all fairness , I would like a neutral party of adminstrators to review this information when they get a chance .
1366512	help	liked	would	30	30	28	28	26	26	In all honesty this VFD seems to me to be more about making a point than a genuine reason to delete the article , frankly I would have liked Jayjgs help with this piece .
1383450	nothing	like	would	34	34	33	33	32	32	In addition to initially preying upon his prisoner ' s fears of the infamous Gestapo , he portrayed himself as their closest ally in their predicament , telling them that while he would like nothing more than to see them safely deposited in a POW camp , his hands were tied unless the prisoner gave him the few details that he requested to help him properly identify the prisoner as a true POW .
1398048	reward	like	would	22	22	20	20	19	19	In addition to that I think my edits were the force that caused thule to nominate this so i would like a reward if at all possible .
1456497	record	like	would	36	36	34	34	33	33	In an interview on June 30 , 2013 , when asked about a release date , the band stated that they are aiming to be on tour by Summer of 2014 , and would like the record to be out for a while prior to that .
1460375	rematch	like	would	35	35	33	33	32	32	In an interview with Sherdog , Emelianenko stated that he did not train at all for the Werdum fight as his original opponent was not going to be Werdum , and he would like a rematch with him .
