sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
397205	birthday	dreads	22	22	20	20	In 1968 , he received critical acclaim for his performance as Harold , a bitter , pockmarked gay man who dreads his birthday in off-Broadway ' s The Boys in the Band .
930440	Reign	Dreaded	14	14	12	12	In 2002 he recorded and released a third Carpe Tenebrum album , Dreaded Chaotic Reign , this time performing vocals himself .
1213593	valour	dreaded	31	31	29	29	In chapter III , Hengist is struck with terror after hearing that Aurelius Ambrosius had rallied the Britons and burned Vortigern alive in a tower , `` for he dreaded the valour of Aurelius '' .
2224960	arm	dreading	6	6	4	4	Antonio observed caution , dreading the arm of the Holy Office , but persisted , together with his family , in keeping the Sabbath at home .
2312722	death	dreading	29	29	27	27	And he went about , a sorry and incredible sight , Belisarius a private citizen in Byzantium , practically alone , always pensive and gloomy , and dreading a death by violence .
2628600	PC	dreaded	34	34	31	31	And written and produced PC aur Mausi - a mini TV series which explored the prejudices a ' Mausi ' -LRB- maternal aunt -RRB- had with the advent of the ' dreaded ' `` PC '' or Personal Computer in the mid-eighties in India .
2915590	operation	dreaded	9	9	7	7	An illness required surgery , but Colton dreaded the operation .
3204044	day	dreading	7	7	4	4	I seem to recall dreading the last day of the summer vac when I was a lad .
3249994	feeling	dread	4	4	2	2	I should dread the feeling that you were concealing your opinions from the fear of giving me pain .
3736351	bitterness	dread	31	31	29	29	Above all things we must take care that the child , who is not yet old enough to love his studies , does not come to hate them and dread the bitterness which he had once tasted , even when the years of infancy are left behind .
3980907	grind	dreading	39	39	37	37	According to Kathamrita it included , childless widows , young school-boys , aged pensioners , Hindu scholars and religious figures , men betrayed by lovers , people with suicidal tendencies , small-time businessmen , and people `` dreading the grind of samsaric life '' .
4105176	displeasure	dreading	34	34	32	32	According to Aristobulus of Cassandreia , Apollodorus , having joined Alexander the Great on his return from his Indian expedition and accompanied him to Ecbatana , imagined that he had grounds for dreading his displeasure , and wrote therefore to Peithagoras at Babylon , to inquire whether any danger threatened him from Alexander or Hephaestion .
4175397	strife	dreaded	56	56	52	52	According to a local tradition , Shakambhari Devi , the tutelary goddess of Chauhan Rajputs and the consort of Lord Shiva , in return for some service done to her , converted a dense forest into a plain of silver , and subsequently , at the request of the inhabitants , who dreaded the cupidity and strife which such a possession would excite , transformed it into the present .
4373155	sound	dread	30	30	28	28	Consideration was also given in that pilots were told not to fly over the camp because of the danger of panic among the children who had come to dread the sound of aeroplanes and Ships in the harbour were told not to sound sirens as their noise was said to have resembled the air raid warnings .
5902322	speech	dreading	19	19	17	17	At the f e te , Emsworth is uncomfortable as ever in his dress clothes , and dreading the speech he will have to make .
6349968	displeasure	dreaded	20	20	18	18	A typical account by a professor there states that `` the students fairly worshipped him , and deeply dreaded his displeasure ; yet so kind , affable , and gentle was he toward them that all loved to approach him .
6586845	invasion	dreaded	15	15	13	13	Babur had now resigned all hopes of recovering Fergana , and although he dreaded an invasion from the Uzbeks to his West , his attention increasingly turned towards India and its lands in the East .
6586846	invasion	dreaded	15	15	13	13	Babur had now resigned all hopes of recovering Fergana , and although he dreaded an invasion from the Uzbeks to his West , his attention increasingly turned towards India and its lands in the east , especially the rich lands of the Delhi Sultanate .
6838024	partaking	dreaded	3	3	2	2	Although he dreaded partaking in interviews and speaking in front of a crowd , Hart went on to win the promotion ' s top titles , including two British Commonwealth Mid-Heavyweight Championships , five International Tag Team Championships , and six North American Heavyweight Championships .
7086663	aridity	dreads	7	7	4	4	A Louis Auchincloss character dreads `` the aridity of snobbery which he knew infected the Ivy League colleges '' .
7733578	Kimura-sensei	dreads	21	21	20	20	Also during that year , Kimura-sensei transferred her into his class , much to Kaorin ' s dismay -LRB- Kaorin dreads Kimura-sensei ' s attention even more emphatically than her peers do -RRB- .
8528766	experience	dreading	21	21	13	13	Again this is because it is easy to imagine hoping for love or dreading loss of love but not the actual experience of it , and that the `` happy passion , upon this account , interests us much less than the fearful and the melancholy '' of losing happiness -LRB- p .
8860632	nightmare	dreaded	49	49	48	48	Editor Scott Haring said `` Back when people were well-and-truly scared of the possibility of nuclear vaporization -LRB- I guess today either the threat is lessened , or it ' s become old hat -RRB- , Nuclear War dared to make fun the possibility of mankind ' s dreaded nightmare via a card game .
8979130	Darkness	dreaded	20	20	19	19	Emperor Asura tortured Nazul at his leisure , and then the dark emperor dumped him into Metnal ' s dreaded Darkness Zone , a place full of twisted , voracious man-eating beasts .
9257421	idea	dread	7	7	5	5	First of all , I dread the idea that we will now have articles for every possible matching of sports teams .
9310101	prospect	dreaded	6	6	4	4	Fitch , who had dreaded the prospect of surgery , had weathered two previous attacks of appendicitis and had never had his appendix taken out .
9385483	loss	dreaded	16	16	14	14	Following the German surrender in November 1918 von Galen , still in Berlin , dreaded the loss of the monarchy and feared the poor would embrace radicalism and anarchy .
9601998	day	dreads	19	19	17	17	Fears of being discovered fill Greg with paranoia , worrying that he will be arrested , and dreads the day where his identity will be unveiled .
10267987	office	dreaded	12	12	10	10	He was a very pious and energetic missionary , but dreaded the office of superior .
10544837	evil	dreading	12	12	10	10	He ' s always expectant of the good instead of dreading the evil .
11025552	noise	dreading	17	17	15	15	He scorns the Christmas season and the boisterous festivities customarily celebrated during the holiday , dreading the noise .
11433785	idea	dread	11	11	9	9	As for his behaviour in AFD , I so dread the idea of dealing with him there that I have for all intents and purposes abandoned participation .
11473970	battle	dreaded	20	20	18	18	As he -LSB- the Emperor Alexios I -RSB- knew that the Pisans were skilled in sea warfare and dreaded a battle with them , on the prow of each ship he had a head fixed of a lion or other land-animal , made in brass or iron with the mouth open and then gilded over , so that their mere aspect was terrifying .
11493295	idea	dreaded	15	15	13	13	A severe claustrophobe as a result of his first prison term , Nitti dreaded the idea of another prison confinement .
11501336	arrival	dreaded	15	15	13	13	As his father was considered a German supporter , Doiaru ' s family dreaded the arrival of the Russians .
11687908	alliance	dreaded	33	33	38	38	Although there were occasional electoral pacts between the Swatantra Party and the Dravida Munnetra Kazhagam -LRB- DMK -RRB- , Rajagopalachari remained non-committal on a formal tie-up with the DMK due to its existing alliance with Communists whom he dreaded .
12082511	school	dreaded	33	33	32	32	Because there are kids who have messaged me since that episode saying they used to hear that line spoken to them day in and day out at school '' , and they dreaded school because of it .
12188131	victory	dreaded	8	8	5	5	But much of the populace dreaded a Japanese victory .
12639104	bot	dread	6	6	4	4	I know I would dread this bot being let loose on Australian geographic articles .
13204655	influence	dreaded	44	44	42	42	Immediately on the expiration of his sentence on 13 April 1713 he was instituted to the valuable rectory of St Andrew ' s , Holborn , by the new Tory ministry , who despised the author of the sermons , although they dreaded his influence over the mob .
13295919	accession	dreaded	36	36	33	33	In 1713 he was promoted to become Bishop of Rochester and Dean of Westminster Abbey , and if the Tories had remained in power he might have risen much higher , so he dreaded the Hanoverian accession planned by the Act of Settlement of 1701 .
14435604	repeat	dreaded	6	6	4	4	In particular , they dreaded a repeat of the Irish Rebellion of 1641 , which had been marked by widespread killings .
15061016	cupboard	dreads	57	57	55	55	In the episode , alien time traveller the Doctor -LRB- Matt Smith -RRB- and his companions Amy Pond -LRB- Karen Gillan -RRB- and Rory -LRB- Arthur Darvill -RRB- decide to make a `` house call '' to an eight-year-old boy named George -LRB- Jamie Oram -RRB- who is terrified of almost everything , and especially dreads the cupboard in his bedroom .
16189563	task	dread	36	36	34	34	A recent survey from Kelton Research showed that 60 percent of Americans feel overwhelmed by the number of online videos and 46 percent of these people do not watch more online videos because they dread the task of weeding through too many search results .
16346548	change	dreaded	14	14	12	12	Apart from these perceived moral failings of the Reformers , Erasmus also dreaded any change in doctrine , citing the long history of the Church as a bulwark against innovation .
17247799	cosmopolitanism	dreaded	4	4	1	1	I dreaded their childish cosmopolitanism ; their foolish faith that we could abolish crime by reducing the police force .
17247824	idea	dread	3	3	1	1	I dread the idea that someone will create 130 episode articles linked from List of Mama ' s Family episodes .
17247827	thought	dread	3	3	1	1	I dread the thought of going back into mediation over the same pages , but .
17247855	presentation	dread	3	3	1	1	I dread your presentation of such excessive unconfirmed claims , you want two paragraphs and a comment in the lede about the opinionated rumors that he might be homosexual .
17764247	imprudence	dreaded	6	6	2	2	I always dreaded his impatience and imprudence .
18338400	moment	dreading	23	23	21	21	As you get older and start to lose people you love , you think about it more , and I was dreading this moment .
18551678	idea	dreads	12	12	10	10	As the children grow up , Antonio ' s wife dreads the idea of her son facing the danger of becoming a bullfighter , particularly inasmuch as Mario has an artistic side to his nature , an affinity for music .
18603147	life	dreads	12	12	10	10	As the 77th earl and lord of Gormenghast , he dreads the life of pre-ordained ritual that stretches before him .
18682480	life	dreads	9	9	6	6	As the story opens , Titus dreads the pre-ordained life of ritual that stretches before him .
18802536	call	dreading	34	34	30	30	At some point you have to let go and trust the individual to make their own judgments , hoping that our own example will provide guidance , while always still dreading the late-night phone call that there has been a wreck .
20223218	fastbreak	dreaded	13	13	12	12	During his stint with Toyota , he sparked the team ' s dreaded fastbreak either with a shotblock swatted to the direction of a streaking teammate on the wings or a sharp outlet pass which he threw like `` baseball pitch '' to a teammate at the other end , usually Francis Arnaiz or Arnie Tuadles .
20374904	boy	dreaded	17	17	12	12	During World War II , families of sons in the military service dreaded the Western Union `` boy on his bicycle '' to arrive at their home with a telegram from the War Department or the Navy Department .
20514911	appearance	dreaded	12	12	9	9	During the summers of the mid-20th century , parents dreaded the annual appearance of poliomyelitis .
20514912	appearance	dreaded	17	17	14	14	During the summers of the mid-20th century , parents in the US and Europe dreaded the annual appearance of poliomyelitis -LRB- or polio -RRB- , which was commonly known as `` infantile paralysis '' .
21155021	speech	dreading	10	10	6	6	Dimple , Chetan and Anand are dreading yet another record-breaking speech from their father , Ramesh .
21289595	disappointment	dreading	21	21	18	18	Game 4 proved to be the most dramatic of the series , and it left many Cubs fans dreading another harsh disappointment for the franchise nicknamed the `` lovable losers .
21540025	day	dreading	13	13	11	11	General Hancock , for instance , spends much of the novel dreading the day he will have to fire on his friend in the Confederate Army , Lewis `` Lo '' Armistead .
21621548	school	dreading	22	22	21	21	Geppetto sells his only coat to provide schoolbooks for Pinocchio ; however , the rambunctious puppet goes on several adventures , dreading school .
22079937	moment	dreads	7	7	5	5	Giselle , however , still dreads the moment when she will have to tell Ziggy the truth .
22319856	budget	dreading	21	21	17	17	Gates issued a dire warning that the United States , exhausted by a decade of war and dreading its own mounting budget deficits , simply may not see NATO as worth supporting any longer .
22563295	shower	dreads	5	5	3	3	Big Dee Dee dreads the shower because she knows the guests will insist on touching her belly .
22824975	speaking	dreaded	8	8	6	6	Because of his stammer , Albert dreaded public speaking .
23796251	day	dread	7	7	5	5	Even with now , I dread the day we have to do ANY conversion .
23928427	marriage	dreads	9	9	6	6	Even after Mathilde admits that she dreads her upcoming marriage , Ponceludon does not want her to end up the wife of a poor man .
24009646	birthday	dreads	13	13	17	17	Every week before June 19 , the strip focuses on Garfield ' s birthday , which he dreads because of his fear of getting older .
24211925	idea	dreads	3	3	1	1	Elenor dreads the idea of marriage to Thomas , both because she does not like him and because she is afraid of bearing children .
24765135	Reign	Dreaded	2	2	0	0	Dreaded Chaotic Reign was a death metal album whereas previous Carpe Tenebrum recordings had been black metal .
24765139	mafia	Dreaded	4	4	0	0	Dreaded personality and drug mafia is looking for his daughter , who thinks his daughter is with Chandrakanth .
24765141	prod	Dreaded	5	5	0	0	Dreaded Walrus , but the prod was removed without explanation .
24765205	blockade	Dreading	2	2	0	0	Dreading a blockade much more than a punitive expedition the Mahsuds agree to pay the fine and promise not to raid .
24765206	suit	Dreading	3	3	0	0	Dreading a breach-of-promise suit , Kipps is surprised to meet Helen , rather than Ronnie .
24765208	fact	Dreading	3	3	0	0	Dreading the daunting fact that she was going blind , she took her own life by swallowing poison .
24765573	day	Dread	2	2	0	0	Dread the day when every Holiday Inn has its own article upon that basis .
24937262	wedding	dreading	22	22	20	20	Club said the wedding felt appropriate for the two characters , and he enjoyed the progression of Leslie going from dreading the wedding to accepting it .
25111220	war	dreaded	20	20	19	19	Cousin Nader Hasan disputed that Hasan had ever been `` disenchanted with the military '' , but that he dreaded war after counseling soldiers who had returned with post-traumatic stress disorder .
25460074	branch	dreaded	13	13	11	11	Comrade Duch , the former head of Democratic Kampuchea ' s dreaded special branch - the Santebal .
25726559	visit	dreads	19	19	17	17	Clemma , the family ' s African-American housekeeper -LRB- and the story ' s narrator -RRB- , dreads a visit from the husband who deserted her years before .
26130001	visit	dreads	8	8	6	6	By this time , he actually dreads the visit of the last ghost and begs Bugs to hide him from it .
26653987	influence	dreaded	10	10	8	8	Boyarsky and Georgii Zhilenkov , since Nazi officials dreaded emigre influence on Soviet citizens .
27282924	prospect	dreaded	17	17	15	15	He claimed in his memoirs that he was dismayed at the appointment , as he dreaded the prospect of wearing trews , and had accordingly written `` Anything but the Highland Light Infantry '' on his choice of regiment form .
28025394	moment	dreading	16	16	14	14	However , Katniss is unsure of her own feelings and realizes that she is dreading the moment when she and Peeta will go their separate ways .
28102851	wedding	dreading	5	5	2	2	Humiliated and dreading the impending wedding , Iarbe contacts his father , the god Jupiter .
28126424	reaction	dreading	5	5	3	3	How she was dreading the reaction to the breakup and how her parents were going to react .
28227000	thought	dreads	11	11	9	9	His father is physically unable to work and Johnny dreads the thought of his younger brother Mickey -LRB- Bobby Hyatt -RRB- not getting any Christmas gifts .
28485238	birthday	dreaded	4	4	1	1	He dreaded his sixty-fifth birthday in 1939 so much that a friend asked the composer and astrologer Dane Rudhyar to prepare Schoenberg ' s horoscope .
28485239	publication	dreaded	2	2	1	1	He dreaded publication , telling Mivart that `` I can see that I shall meet with universal disapprobation , if not execution '' .
28485240	ignorance	dreaded	5	5	1	1	He dreaded the brutality and ignorance of the mob as much as he despised the avarice and ennui of the upper class .
28485242	summertime	dreads	2	2	1	1	He dreads summertime when his older children will be home tearing up the house and begging him to take them out .
28676306	possibility	dreads	12	12	10	10	He lusts to own a god-level Magic Sword , but dreads the possibility of such a blade having its own ideas of what it is to be used for .
28810306	publicity	dreaded	14	14	12	12	He originally did not want to divorce Charlotte Myers because he `` dreaded the publicity '' and because of her love for his daughter .
28869982	return	dreading	10	10	8	8	He reasons that this is because they are dreading the return to their heavily regimented lifestyle with an autistic child .
29457203	influence	dreading	4	4	2	2	Haji Ahmed dreading the influence of his numerous enemies , endeavoured to gain strength to oppose them ; he therefore wrote every thing to his brother Alivardi Khan , magnifying trifles exceedingly in the representation .
30419381	prospect	dread	7	7	5	5	From my experience , I dread the prospect of you having the tools .
31189029	vengeance	dreaded	28	28	26	26	He had incurred the enmity of the FitzGeralds -LRB- also known as the Geraldines -RRB- by zeal in promoting Wolsey ' s plans , and now dreaded their vengeance .
31723225	something	dreads	5	5	8	8	Hazel receives a telegram , something which everyone dreads as it usually brings bad news .
32454435	life	dreaded	19	19	16	16	Joseph Darlinton died August 2 , 1851 in an epidemic of Cholera , which he had dreaded all his life .
32758652	press	dreaded	23	23	22	22	Joel Banal , Ateneo ' s head coach from 2002 to 2003 , used to have nightmares about La Salle ' s dreaded press , and considers the 2002 championship as his greatest accomplishment , after which Ateneo alums would pay for his restaurant bills .
32776113	effect	dreading	19	19	17	17	John Lesley , the celebrated Bishop of Ross , who had been secretary to Queen Mary , dreading the effect of public feeling against prelacy in the North , and against himself personally , made over to his cousin Leslie of Balquhair , his rights and titles to the Chanonry of Ross , together with the castle lands , in order to divest them of the character of church property , and so save them to his family .
32810938	distance	dreading	21	21	16	16	John Donne wrote the poem to his wife to explain that there is no need for dreading their physical separation or distance because their spiritual love will always keep them together .
32822537	intriguer	dreaded	68	68	66	66	John Adams , whose enmity towards Alexander Hamilton was legendary , later wrote in 1815 that Washington ' s response was startling given his promotion of Hamilton , `` the most restless , impatient , artful , indefatigable , and unprincipled intriguer in the United States , if not in the world , to be second in command under himself , and now -LSB- Washington -RSB- dreaded an intriguer in a poor brigadier .
32888664	fact	dreading	10	10	8	8	Jack then turns the TV off with hostility dreading the fact that Greg is going to be his future Son-in-Law .
32917242	treatment	dreads	18	18	14	14	Jack is bitter and low-spirited about his dismissal from the Navy List , and dreads affronts and disrespectful treatment from any Royal Navy vessels and their officers .
33234166	part	dreads	3	3	1	1	Jean dreads the part his father , Gaston , wants him to play in the feud .
33986171	birthday	dreading	14	14	10	10	It focuses on film director Guido Contini , who is dreading his imminent 40th birthday and facing a midlife crisis , which is blocking his creative impulses and entangling him in a web of romantic difficulties in early-1960s Venice .
35254434	punishment	dreads	3	3	1	1	Liam dreads his punishment , but after a while Liam creates an unexpectedly good relationship with ' Spooner ' , an old war hero who is being ripped off by a salesman .
35391327	possibility	dreaded	14	14	12	12	Mackintosh in particular found the squalor of the hut intolerable , and dreaded the possibility that , caught at Hut Point , they might miss the return of the ship .
36728216	reunion	dreads	29	29	26	26	His lifelong refusal to talk about his experiences in the war has strained his marriage but his wife Kate has stuck by him nonetheless although she dreads the approaching reunion and the emotional difficulties it will bring .
37391864	father	dreaded	6	6	4	4	Kevin , who had dreaded his father ' s return for years , bravely told him to go away , but Tom promised he would be back .
38080672	pill	dreaded	36	36	31	31	Known for his cold and callous attitudes towards the suffering of injured soldiers , refusing to allow even badly injured men to be sent to the rear , often dispensing the dreaded ' Number 9 ' pill , a strong laxative intended to ' cure ' all ailments .
39710981	chore	dreaded	5	5	3	3	Many of them dreaded the chore because they would have to climb steep slopes `` bajadas '' to reach the river .
40459201	string	dreaded	24	24	13	13	Mehmed ' s moves in the western Balkans frightened the Venetians , who dreaded the continued Ottoman approach to the Adriatic coastline and its string of port cities .
40509655	thought	dreading	9	9	7	7	Meanwhile , Johnny ' s alliance is dreading the thought of Evelyn or KellyAnne winning , and hopes Dan or Johanna wins .
42585283	ibid	Dreaded	20	20	16	16	The Ballad of Tom Forcade -LRB- Blacklisted News -RRB- , a history of the counter-culture The Dreaded Yippie Curse , ibid and two novels available on-line , Chief Buffalo and The Green Arm , a satire of weapons of mass destruction .
42919665	possibility	dreads	26	26	24	24	The archetypal example is the experience one has when standing on a cliff where one not only fears falling off it , but also dreads the possibility of throwing oneself off .
43520982	advice	dreaded	11	11	8	8	Please do not let this fall under the dreaded ' medical advice ' -RRB- I ' m just curious how a cooked meat scent could be manufactured from a body .
43594350	conflict	dreading	7	7	5	5	Prime Minister Souvanna Phouma , dreading further conflict and apparently trusting Souphanouvong ' s promises of a moderate policy , gave instructions that the Path e t Lao were not to be resisted , and the U .
44030655	thought	dreads	35	35	33	33	Sive is being wooed by a local lad , Liam Scuab -LRB- `` Liam brush '' - - his name indicating his poverty and low social standing -RRB- better-suited to her , and dreads the thought of marriage to the older man .
44090514	contact	dreaded	7	7	5	5	Shy by nature , he dreaded personal contact .
44504510	free-kick	dreading	4	4	3	3	I was really dreading free-kick of Ceyhun Eri s .
44505849	end	dreading	4	4	2	2	I was dreading the end of the first number , as that is the point at which we can usually tell how a show is going to go .
44505850	information	dreading	4	4	2	2	I was dreading the information I had was going to get out there .
44505851	moving	dreading	9	9	2	2	I was dreading the issue of time and the moving of information .
44755135	idea	dread	31	31	29	29	I was very displeased to see that a bar in Agia Efimia has abandoned its perfectly good Greek name and renamed itself Captain Corelli ' s , and I dread the idea that sooner or later there might be Captain Corelli Tours , or Pelagia Apartments .
45878284	walk	dreading	4	4	2	2	Peter was dreading the walk down Castle Hill , but he did not want to disappoint Mario so he decided he would dose himself with medicine before the trip .
46379917	buttercup	dreaded	13	13	11	11	Popular amongst men and boys alike , wives and girlfriends have dreaded the buttercup since the dawn of time .
46688625	introduction	dreaded	21	21	19	19	Returning in triumph he undertook to introduce his worship into Greece , but was opposed by some princes who dreaded its introduction on account of the disorders and madness it brought with it -LRB- e .
46801190	search	dreaded	22	22	19	19	Rather than having to set my preferances for Google over and over again -LRB- for example turning off the dreaded `` instant search '' -RRB- , I would like to save the cookie to a folder , and then when needed copy and insert this cookie into the appropiate place in Firefox .
48087483	scene	dreading	13	13	10	10	People were really friendly , but I just sat there dreading my first scene in which I had to sing a song in the pub with all those famous faces watching me .
48177621	scene	dreaded	13	13	10	10	Payne told Tony Purnell from the Daily Mirror that she dreaded her first scene with Audenshaw and was nervous about `` getting up close and personal '' with him .
48624108	birth	dreading	6	6	4	4	Parents have thus started dreading the birth of daughters in the family , going as far as determining the sex of fetuses in order to abort daughters .
48678088	monster	dreaded	28	28	26	26	Pasquale ' s `` dream ship '' sequences get much play , as does his relationship with his beloved guardian angel or the bathtub ' s dreaded drain monster .
48724411	theorising	dreading	6	6	4	4	Patient and exact , dreading hasty theorising , he did much for the history , archaeology , and geology of Devon and Cornwall .
49127060	day	dreading	43	43	41	41	Of the process , which saw characters leave , Muschamp explained `` They had the head-shots of all the different characters lined up above the mirrors and as people left , they ' d turn them upside down , I remember dreading the day my head got turned '' .
49151610	thought	dreaded	8	8	6	6	Officers and Senior NCO ' s dreaded the thought of starting all over with the Basic Stage of Training .
49739694	police	dreaded	10	10	8	8	On December 6 , Felix Dzerzhinsky ' s dreaded secret police , Cheka entered Yerevan , thus effectively ending all existence of the DRA .
50593279	force	dreaded	27	27	24	24	No rest , no breathing time was granted them , except in the quarter where stood that most valiant king , as the foe dreaded the incomparable force of his blows .
52294676	reception	dreading	12	12	10	10	On opening night , Stella refuses to go on , dreading her reception , but Keith shows up backstage and points out at least two in the audience who believe in her , Gloria and Nana .
52426889	regime	dreaded	12	12	16	16	One memorandum declared that since the beginning of the Usta s e regime , that Muslims dreaded the lawless activities that some Usta s e , some Croatian government authorities , and various illegal groups perpetrated against the Serbs .
52975668	moment	dreads	8	8	6	6	Rowena Joy , however , still dreads the moment when she will have to tell Gino the truth .
53194998	influence	dreading	8	8	5	5	Seecombe is also unhappy , dreading a female influence on the household .
53754434	prospect	dreaded	23	23	27	27	Rossetti ' s mother began teaching in order to keep the family out of poverty and Maria became a live-in governess , a prospect that Christina Rossetti dreaded .
54226223	father	dreads	3	3	1	1	She dreads her father to a great extent and fears that things will go topsy-turvy if their relationship blossoms into love .
54226226	nothing	dreads	2	2	1	1	She dreads nothing more than a visit from her plebiean mother , and ghoulish brother Cecil , from the North .
54703788	cake	dreading	10	10	16	16	She notices Laura ' s amateur efforts at making a cake , just what Laura was dreading .
54725230	trial	dreading	15	15	12	12	She joins with the local police to solve the murders , while dreading her awaiting trial .
54841059	prospect	dreaded	6	6	4	4	Shareholders in the WIC dreaded the prospect of a truce in the Americas , which would thwart the plans of that company to stage an invasion of Portuguese Brazil .
54873767	thought	dreads	4	4	2	2	She also dreads the thought of going supermarket-shopping by herself .
55510646	prospect	dreaded	24	24	22	22	The subject was scheduled to undergo segmental resection of his left ankle , which was severely infected with tuberculosis , but he dreaded the prospect of general anesthesia because he had suffered severe adverse side effects during multiple previous operations .
55668659	trip	dreading	14	14	10	10	The story begins with Nicolas at ten years old and dreading the school ski trip .
56408332	thought	dreading	8	8	6	6	Spennymoor players and fans alike were dreading the thought of extra time and penalties , or even worse , losing .
56488307	arrival	dreads	8	8	6	6	Southern California ranch boy Billy Deane dreads the arrival of Penny , a visitor from New York .
56513903	distraught	dreads	18	18	9	9	Spaceshot , most openly vulnerable ; Miles , who dreads the inevitable ; Flash , a redneck cowboy distraught over a secret he ' s shared just once ; X-Factor , doomed to repeat the sins of her mother ; LT56 , a middle-aged survivor of a life-altering tragedy ; and Dwarfstar , the organizer , the prophet .
56543969	arrival	dreading	14	14	18	18	Soon , they discover to their horror that the stranger is that man whose arrival they have been dreading for a long time now , Sivankutty .
56833614	war	dreaded	7	7	5	5	Some historians argue that they dreaded a war with Austria ; others that they wanted war because they thought France would lose and the Austrians and the other invaders would then restore the absolute monarchy .
57023051	prospect	dreading	12	12	10	10	Soon after Hassan ' s defeat , the British , dreading the prospect of another several decades of costly and difficult battles with yet another Somali potentate , set about attempting to neutralize Sultan Shire ' s influence .
57048491	fate	dreading	5	5	2	2	Stair , dreading a similar fate , went to London to seek a personal interview with the king , who had more than once befriended him , perhaps remembering his services in the Netherlands , but the Duke of York intercepted his access to the royal ear , and when he returned to Scotland he found a new commission of judges issued , from which his name was omitted .
58917813	day	dreads	10	10	8	8	The Hunger Games are over , but Katniss dreads the day her children learn about their parents ' involvement in both the Games and the war .
59565416	retaliation	dreaded	38	38	37	37	The manifesto ' s signatories did not want to engage in a military war by supporting the liberation pugilists , because , for one thing , they could ill afford it and , for another , they dreaded retaliation .
60019082	affair	dreaded	18	18	16	16	That is a great deal so say on the part of one who greatly disliked and dreaded the affair from the first ' .
