sentence_id	n	not	v	v2	n_first_index	n_last_index	not_first_index	not_last_index	v_first_index	v_last_index	v2_first_index	v2_last_index	sentence_text
2254782	child	not	bear	can	9	9	5	5	6	6	4	4	An unhealthy mother simply can not bear a healthy child , let alone nurse a sickly one back to health , without access to adequate nutrition .
2345684	sound	not	bear	ca	22	22	19	19	20	20	18	18	And , d'you know , I grow so irritable when I ' ve got that pain , I ca not bear the sound of people ' s voices .
2861804	thought	not	bear	ca	5	5	2	2	3	3	1	1	Angelika ca not bear the thought of Marimar ' s family being whole again so she planned to take away Marimar ' s happiness .
3130654	fruit	not	bear	can	7	7	4	4	5	5	3	3	A healthy tree can not bear bad fruit , nor can a diseased tree bear good fruit .
3413545	anyone	not	bear	can	40	40	38	38	39	39	37	37	After finding lodgings with Miss Belle Frierne -LRB- where Humphrey Place also resides -RRB- , and splitting up with his fianc e Jinny due to her being ill -LRB- his `` fatal flaw '' is that he can not bear anyone who is ill -RRB- , Dougal embarks upon a mission of disruption throughout Peckham .
3545309	pain	not	bear	ca	37	37	34	34	35	35	33	33	After a conversation with Klem about his recently deceased pet sea monkey , Death realizes all of the pain and suffering he has caused the world through taking away life , and he ca not bear the pain anymore , so he kills himself .
4283749	life	not	bear	can	5	5	3	3	4	4	2	2	Act 3Almanzor can not bear life away from Nora i me and steals into the garden of the Alhambra to meet her .
4377859	thought	not	bear	can	30	30	27	27	28	28	26	26	Considering his request to return to his home and give him an answer , whether it be `` yes '' or `` no , '' Christine can not bear the thought of hurting Erik by refusing him .
4975122	beast	not	bear	can	4	4	10	10	11	11	9	9	Debt deflation is a beast of burden that capitalism can not bear alone .
5827730	thought	not	bear	can	15	15	12	12	13	13	11	11	At the end of this statement , Smith states that he can not bear the thought of `` walls , razor wire , and steel metal bars '' for the rest of his life .
7086978	burden	not	bear	can	25	25	29	29	30	30	28	28	A lovely , pure , noble , and most moral nature , without the strength of nerve which forms a hero , sinks beneath a burden which it can not bear , and must not cast away .
8009028	guilt	not	bear	can	10	10	7	7	8	8	6	6	After winning the game , Pete can not bear the guilt of having cheated .
8021509	fruit	not	bear	can	7	7	4	4	5	5	3	3	A good tree can not bear bad fruit , and a bad tree can not bear good fruit .
8021509	fruit	not	bear	can	17	17	14	14	15	15	13	13	A good tree can not bear bad fruit , and a bad tree can not bear good fruit .
8257427	madness	not	bear	can	17	17	14	14	15	15	13	13	After realising that he was actually killing a flock of sleep , Ajax can not bear the madness and commits suicide by throwing himself upon a sword embedded in the ground .
8568869	love	not	bear	can	40	40	35	35	36	36	34	34	After well over a year -LRB- from the perspective of the Doctor and herself -RRB- of service at the Doctor ' s side , Martha parts from the Doctor ' s company as she can not bear her own unrequited love for him .
8753813	responsibility	not	bear	can	26	26	23	23	24	24	22	22	A '' , it can not be exclusively defined as `` B '' ; if it is `` B '' , it can not bear sole responsibility for `` A '' .
8924437	burden	not	bear	can	22	22	18	18	19	19	17	17	Empirically false assumptions about human motivation , cognitive processes , access to information , or social relations can not bear the explanatory burden in a mechanistic explanation no matter how well they predict the outcome to be explained .
10353823	thought	not	bear	can	25	25	22	22	23	23	21	21	He was a star football player before his high school graduation , and suffers from a worrying , domineering mother who can not bear the thought of Barry leaving her .
10584032	thought	not	bear	can	20	20	17	17	18	18	16	16	He says the experience left him with a bad case of claustrophobia , and that he can not bear the thought of a plane ' s small cabin with a locked door .
11749156	fruit	not	bear	can	14	14	12	12	13	13	11	11	But as long as Vikrama Singha is present , his plans can not bear fruit .
11778305	shock	not	bear	can	7	7	4	4	5	5	3	3	But his father can not bear this shock and suffers from a massive heart attack .
11784993	idea	not	bear	can	6	6	3	3	4	4	2	2	But I can not bear the idea of being an anti-communist with the same stupidity and spite as when I was an atheist and blasphemer .
